text,label
Cần tư vấn mà add  k rep,0
Hotline khó gọi quá gọi mãi ko thưa máy à,0
"Mình thấy câu dịch vụ tốt nhất cho kh khó lắm. Mình nộp tiền vào 15/07/2017 mà hôm nay thấy sai sai muốn xem lại bản kê từng loại tiền mà thu ngân lại nói đã huỷ hết chứng từ, vậy nên mình đang thiếu 1 tr chắc phải bù vậy. Một tuần làm việc ... Buồn",0
Em chọn chuyển tiền trong nước. Chuyển đến số tk. Trong giờ hành chính thì thông báo ko thể thực hiện. Ngoài giờ hành chính thì thông báo hết phiên giao dịch.Như thẻ Vietcombank của em muốn chuyển cho ai cũng đc. Thậm chí 12h đêm vẫn chuyển đc.Em thấy BIDV như vậy bất tiện quá. Ad xem lại dùm em nhá.,0
"Mình xài cái thể VISA của BIDV hạn mức 100tr, gần 1 năm nay mới lấy ra dùng, ai ngờ bị khóa thẻ. Suýt chết. Hỏi ra thì nó trả lời do mình có xài thẻ và đã đóng tiền trả lại cả năm nay rồi mà mấy con mẹ ngoài Hà Nội quản lý thẻ không chịu cập nhật nên thẻ mới bị khóa. Trong khi mình đóng dư 2,3tr nó còn chuyển trả lại mình. Có ai nghe tin được không? Chi Nhánh đổ lỗi cho mấy con mẹ quản lý thẻ ngoài Hà Nội. Ghét bố mày hủy thẻ luôn. Thời bây giờ mà làm ăn kiểu này mới hay.",0
Troi đăng cho vui hoi chưa chắc trả lời?,0
Nói chứ có làm mỗi cái thẻ ở ngân hàng này để Cty chuyển lương mà bị trừ tiền khang luôn...,0
"Bidv nguyễn trãi - hcm, bộ phận khách hàng  doanh nghiệp, mỗi lần lấy sổ phụ cảm giác như hầu hạ, xin xỏ mấy đứa nhân viên. Thấy mặt ko thèm chào, bắt khách hàng phải nhớ số tài khoản chứ đọc tên công ty nó tìm cực. Giao dịch hơn 8 năm mà lâu lâu nó lạ i đòi giấy giới thiệu. Hình như cứ khách hàng mà thân thiện quá thì cảm giác như bị ngược đãi. Mình là đại diện cho doanh nghiệp chứ mình đâu phải hạng khố rách áo om? Ngân hàng thu phí của khách hàng để tuyển nhân viên như thế sao? Chắc con ông cháu cha hay sao nên được ưu ái nhỉ :)",0
"K biet bidv the nao ? Nhung khi sát nhap mhb, minh biet co ng trinh do k co, an o nha xong học lop tu xa, t 7, chu nhat, sau 4 nam co bang gio lam ngan hang, cung mang danh bidv thiet thay nh cai Mac cuoi",0
Mình mất cái thẻ ATM đợt làm trong tp HCM. Ra Hải Phòng làm lại hẹn 1 tuần đến h cả năm chả thấy thông báo là có làm lại đc k. :)).,0
